ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_Concentration,Metadata_Concentration,Metadata_Experiment_Number,Metadata_FileLocation,Metadata_Frame,Metadata_LPS,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_Well,Metadata_Z,Intensity_IntegratedIntensity_GFP,Intensity_IntegratedIntensity_GFP_aftermath,Intensity_MeanIntensity_GFP,Intensity_MeanIntensity_GFP_aftermath
7,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,1.5294118290767074,0.019607841968536377,0.0022425393388221517,2.8750501420141316e-05
7,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,4.360784440301359,1.675381351262331,0.00788568614882705,0.0030296226966769098
7,15,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,9.674510086886585,3.522875878959894,0.008015335614653342,0.002918704125070335
7,16,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,1.392156925983727,0.0,0.002351616429026566,0.0
7,17,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,7.1176472548395395,3.143791066482663,0.012619941941204858,0.005574097635607559
7,18,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,5.482353062368929,2.3485839553177357,0.009276401120759609,0.003973915322026626
7,19,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,1.4901961386203766,0.18300654739141464,0.0027647423722084907,0.00033952977252581565
7,20,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,1.4901961414143443,0.07625272870063782,0.003225532773624122,0.00016504919632172687
8,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,2.5058824559673667,0.21350762248039246,0.003564555413893836,0.0003037092780659921
8,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,9.117647340521216,1.7145969979465008,0.007547721308378491,0.0014193683757835272
8,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,3.5960786007344723,0.0,0.0024513146562607172,0.0
8,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,10.51372579857707,4.002178739756346,0.0052437535154997855,0.0019960991220729905
8,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,6.415686477907002,1.5424837097525597,0.0069358772734129754,0.0016675499564892536
8,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,14.752941629849374,3.7734207045286894,0.019437340750789688,0.00497156878067021
8,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,15.803922067396343,2.459695104509592,0.007953659822544711,0.001237893862360137
8,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,10.101961012929678,4.18518527969718,0.019769003939197023,0.008190186457333033
8,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,10.807843376882374,5.370370538905263,0.022422911570295384,0.011141847591089757
8,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,3.0980393309146166,0.2875817120075226,0.0044704752249850165,0.0004149808254076805
8,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,0.7529412182047963,0.0,0.0015334851694598702,0.0
8,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,34.30980472359806,20.246188005432487,0.012449130886646611,0.007346222062929059
8,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,18.90980446804315,10.880174912512302,0.015249842312938022,0.00877433460686476
8,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,3.3098040567710996,0.8518519289791584,0.004910688511529821,0.0012638752655477127
8,15,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,5.443137459456921,0.14596951380372047,0.004795715823310062,0.0001286075011486524
8,16,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,6.270588404498994,3.2875818759202957,0.014789123595516497,0.007753730839434659
8,17,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,10.02352975960821,0.43790851533412933,0.007029123253582194,0.0003070887204306657
8,18,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,74.81176669616252,54.54030900634825,0.07712553267645621,0.05622712268695696
8,19,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,2.976470719091594,0.054466236382722855,0.0030590654872472704,5.597763245911907e-05
8,20,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,9.87058856151998,3.8823532424867153,0.023224914262399955,0.009134948805851095
8,21,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,1.780392238870263,0.0,0.0030909587480386514,0.0
8,22,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,1.3450981052592397,0.0,0.0028558346183847976,0.0
8,23,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,10.796078829094768,1.4553378336131573,0.006193963757369345,0.0008349614650677896
8,24,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,9.141176675446332,5.559913069009781,0.02087026638229756,0.01269386545436023
8,25,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,5.145098261535168,0.0958605706691742,0.0026797386778828996,4.992738055686156e-05
8,26,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,2.639215786010027,0.2679738700389862,0.003427552968844191,0.00034801801303764444
8,27,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,7.184313948266208,0.7908497415482998,0.01618088727086984,0.0017811931115952698
8,28,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,12.71372589841485,2.372549083083868,0.007843137506733405,0.001463632993882707
8,29,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,3.4352942230179906,0.7494553551077843,0.008399252379017091,0.0018324091811926266
8,30,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,3.745098164305091,1.1132898591458797,0.006723695088519014,0.0019987250613031954
8,31,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,2.7843138240277767,0.7342048585414886,0.005137110376435013,0.0013546215102241488
8,32,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,15.819608328863978,5.054466530680656,0.010525354842890204,0.0033629185167535973
8,33,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,28.984314154833555,23.394336085766554,0.059151661540476644,0.04774354303217664
8,34,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,2.5725491074845195,0.0,0.004561257282773971,0.0
8,35,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,18.164706386625767,6.810457829385996,0.023651961440918967,0.008867783632013015
8,36,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,8.00784335937351,3.461873836815357,0.010969648437497958,0.004742292927144325
8,37,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,4.509804076515138,0.8845316376537085,0.004404105543471815,0.0008638004273961997
8,38,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,1.4470588844269514,0.0,0.003259141631592233,0.0
8,39,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,10.294117937795818,5.529412031173706,0.020588235875591637,0.011058824062347412
8,40,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,22.917647692374885,8.522876359522343,0.02092935862317341,0.00778344873015739
8,41,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,1.8745098859071732,0.0,0.0027365107823462383,0.0
8,42,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,2.819607935845852,1.0631808936595917,0.006011957219287531,0.0022669102210225835
9,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,1.9529412584379315,0.2352941334247589,0.0033326642635459584,0.00040152582495692646
9,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,9.211764950305223,4.716775819659233,0.0200255759789244,0.010253860477520072
9,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,3.901960914954543,0.7342048566788435,0.007930814867793786,0.00149228629406269
9,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,9.807843430899084,3.6775601394474506,0.009064550305821704,0.0033988541030013407
9,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,2.517647155560553,0.37254904210567474,0.004741331743051889,0.0007015989493515532
9,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,5.019608024507761,0.9041395336389542,0.010435775518727155,0.0018797079701433558
9,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,5.368627646006644,0.23093683645129204,0.009435197971892169,0.0004058643874363656
9,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,1.12941181845963,0.0,0.002130965695206849,0.0
9,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,1.5686275158077478,0.24618738889694214,0.0031625554754188463,0.0004963455421309318
9,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,1.1686275033280253,0.0,0.0026320439264144713,0.0
9,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,2.4039216665551066,0.03267974406480789,0.0033715591396284808,4.5834143148398166e-05
9,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,0.5215686541050673,0.0,0.0011073644460829453,0.0
9,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,4.09019620437175,0.2723311558365822,0.007518743022742188,0.0005006087423466585
10,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,1.6627451656386256,0.02832244709134102,0.0033864463658627815,5.76831916320591e-05
10,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,0.458823555149138,0.0,0.001144198391893112,0.0
