ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_Concentration,Metadata_Concentration,Metadata_Experiment_Number,Metadata_FileLocation,Metadata_Frame,Metadata_LPS,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_Well,Metadata_Z
5,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
6,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
6,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
6,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,15,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,16,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,17,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,18,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,19,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
7,20,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,15,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,16,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,17,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,18,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,19,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,20,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,21,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,22,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,23,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,24,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,25,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,26,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,27,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,28,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,29,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,30,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,31,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,32,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,33,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,34,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,35,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,36,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,37,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,38,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,39,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,40,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,41,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
8,42,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
9,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
9,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
9,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
9,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
9,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
9,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
9,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
9,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
9,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
9,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
9,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
9,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
9,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
10,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
10,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
10,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
10,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
10,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
10,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
10,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
10,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
10,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
10,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
10,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
10,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
10,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
10,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
11,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,15,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,16,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,17,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,18,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,19,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,20,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,21,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,22,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,23,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,24,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,25,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,26,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,27,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
11,28,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,15,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,16,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,17,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,18,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,19,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,20,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,21,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,22,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,23,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,24,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,25,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
12,26,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
13,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
13,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
13,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
13,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
13,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
13,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,2,nan
