ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_Concentration,Metadata_Concentration,Metadata_Experiment_Number,Metadata_FileLocation,Metadata_Frame,Metadata_LPS,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_Well,Metadata_Z,Intensity_IntegratedIntensity_GFP,Intensity_IntegratedIntensity_GFP_aftermath,Intensity_MeanIntensity_GFP,Intensity_MeanIntensity_GFP_aftermath,Intensity_MedianIntensity_GFP,Intensity_MedianIntensity_GFP_aftermath
4,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,91.16078615933657,35.41291789710522,0.08551668495247333,0.03322037326182478,0.0470588244497776,0.0
4,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,107.78039461560547,40.31141818501055,0.09780435083085796,0.03658023428766838,0.05882352963089943,0.0
4,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,15.992157308384776,0.0,0.027525227725275003,0.0,0.019607843831181526,0.0
4,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,124.97255132347345,61.4117639483884,0.1421758263065682,0.06986548799589123,0.0784313753247261,0.0
4,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,119.05098342429847,13.999999864026904,0.04566589314319082,0.005370157216734524,0.027450980618596077,0.0
4,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,31.372549913823605,0.6066897204145789,0.0433322512621873,0.0008379692270919599,0.03921568766236305,0.0
4,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,174.42745495494455,70.22260562051088,0.13224219481042043,0.05323927643708179,0.08627451211214066,0.0
4,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,25.619608527049422,0.17531716730445623,0.035337391071792304,0.00024181678248890516,0.027450980618596077,0.0
4,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,329.55686930939555,214.54671032447368,0.22480004727789601,0.1463483699348388,0.11764705926179886,0.0
4,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,86.79215913359076,8.295270700939,0.06330573240962127,0.006050525675374909,0.0470588244497776,0.0
4,15,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,37.12156955897808,3.974625064060092,0.050436915161655,0.005400305793559907,0.03921568766236305,0.0
4,16,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,24.18823591992259,0.02191464602947235,0.0342124977650956,3.0996670480158914e-05,0.027450980618596077,0.0
4,17,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,423.901967741549,315.34486471954733,0.327337426827451,0.2435095480459825,0.19607843458652496,0.054209914058446884
4,18,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,68.07058997638524,7.098039039410651,0.060723095429424834,0.006331881391088895,0.0470588244497776,0.0
4,19,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,32.2000008802861,0.0530565120279789,0.033646813876996966,5.5440451439894355e-05,0.027450980618596077,0.0
5,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,63.898040821775794,11.156862499192357,0.06377049982213154,0.011134593312567222,0.03921568766236305,0.0
5,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,59.184315220452845,8.87543217651546,0.07370400401052658,0.011052842062908418,0.0470588244497776,0.0
5,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,141.54902344290167,16.855824189260602,0.0782038803551943,0.00931261004931525,0.06666667014360428,0.0
5,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,210.06667238567024,37.01268657203764,0.0704448934894937,0.012412034397061582,0.0470588244497776,0.0
5,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,54.341177937574685,4.858131360262632,0.056782840060161634,0.0050764173043496685,0.0470588244497776,0.0
5,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,320.9098083488643,270.931947439909,0.4319109129863584,0.36464595886932566,0.343137264251709,0.2272202968597412
5,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,172.00784693751484,80.78315939288586,0.15867882558811333,0.07452320977203493,0.09803921729326248,0.0
5,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,173.0823561027646,115.10380509495735,0.2216163330381109,0.1473800321318276,0.09803921729326248,0.0
5,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,317.16079069301486,187.11764495354146,0.18867387905592795,0.11131329265528939,0.09803921729326248,0.0
5,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,451.3254988202825,290.7647030418739,0.23109344537648874,0.1488810563450455,0.11764705926179886,0.0
5,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,239.12549516186118,139.53633033297956,0.1896316377175743,0.11065529764708926,0.09803921729326248,0.0
