ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_Concentration,Metadata_Concentration,Metadata_Experiment_Number,Metadata_FileLocation,Metadata_Frame,Metadata_LPS,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_Well,Metadata_Z
5,15,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,16,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,17,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,18,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,19,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,20,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,21,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,22,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,23,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,24,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,25,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,26,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,27,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,28,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,29,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,30,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,31,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,32,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,33,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,34,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,35,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,36,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,37,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,38,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,39,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,40,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,41,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
5,42,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan
